# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-p" "-B" "-C" "--countReadPairs" "-t" "gene" "-g" "locus_tag" "-a" "reference/annotation/NK01067.gff" "-o" "results/counts/gene_counts.txt" "results/alignment/SRR35308233.sorted.bam" "results/alignment/SRR35308234.sorted.bam" "results/alignment/SRR35308235.sorted.bam" "results/alignment/SRR35308236.sorted.bam" "results/alignment/SRR35308237.sorted.bam" "results/alignment/SRR35308238.sorted.bam" "results/alignment/SRR35308239.sorted.bam" "results/alignment/SRR35308240.sorted.bam" "results/alignment/SRR35308241.sorted.bam" "results/alignment/SRR35308242.sorted.bam" "results/alignment/SRR35308243.sorted.bam" "results/alignment/SRR35308244.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/SRR35308233.sorted.bam	results/alignment/SRR35308234.sorted.bam	results/alignment/SRR35308235.sorted.bam	results/alignment/SRR35308236.sorted.bam	results/alignment/SRR35308237.sorted.bam	results/alignment/SRR35308238.sorted.bam	results/alignment/SRR35308239.sorted.bam	results/alignment/SRR35308240.sorted.bam	results/alignment/SRR35308241.sorted.bam	results/alignment/SRR35308242.sorted.bam	results/alignment/SRR35308243.sorted.bam	results/alignment/SRR35308244.sorted.bam
M8Y62_06085	CP097651.1	1233135	1234934	+	1800	3559	3599	2958	1128	1422	1581	6169	4833	4665	943	1089	666
M8Y62_06090	CP097651.1	1234950	1235924	+	975	2383	2282	1626	555	703	794	2492	1890	2121	643	779	823
M8Y62_06095	CP097651.1	1236174	1236854	+	681	256	298	348	105	110	118	718	539	474	90	111	56
M8Y62_06100	CP097651.1	1236851	1237756	+	906	498	563	612	450	459	494	1663	1192	1022	432	417	130
M8Y62_06105	CP097651.1	1237768	1238505	+	738	126	131	139	120	145	125	389	290	248	149	136	90
M8Y62_06110	CP097651.1	1238517	1239248	+	732	294	291	260	247	256	303	694	538	499	107	124	130
M8Y62_06115	CP097651.1	1239248	1239628	+	381	75	104	100	70	59	61	220	182	168	70	85	70
M8Y62_06120	CP097651.1	1239641	1239901	-	261	59	71	73	27	33	38	196	142	113	55	39	26
M8Y62_06125	CP097651.1	1239958	1240806	-	849	203	187	175	131	160	149	418	331	303	119	124	100
M8Y62_06130	CP097651.1	1241044	1241655	+	612	170	199	229	343	351	324	539	438	399	360	372	207
M8Y62_06135	CP097651.1	1241718	1242227	+	510	64	69	92	100	116	115	288	234	203	138	169	64
M8Y62_06140	CP097651.1	1242224	1243840	-	1617	112	145	156	71	88	85	370	228	241	85	95	44
M8Y62_06145	CP097651.1	1244016	1247903	+	3888	686	830	960	485	580	695	2189	1760	2091	375	436	218
M8Y62_06150	CP097651.1	1248494	1249915	+	1422	510	596	527	212	286	224	737	553	545	185	167	109
M8Y62_06155	CP097651.1	1249945	1250631	+	687	219	274	241	151	120	141	622	495	413	96	99	61
M8Y62_06160	CP097651.1	1250618	1251955	+	1338	488	560	524	377	381	475	1513	1193	1133	315	336	203
M8Y62_06165	CP097651.1	1252021	1252359	+	339	988	1015	924	1705	1714	1567	1702	1062	1170	2039	2376	2349
M8Y62_06170	CP097651.1	1252434	1253624	-	1191	305	329	362	484	569	619	1614	1072	938	314	343	348
M8Y62_06175	CP097651.1	1253950	1255203	+	1254	990	1023	1298	1354	1577	1704	4866	3356	4033	1821	1979	2319
M8Y62_06180	CP097651.1	1255259	1255681	-	423	79	81	102	290	338	292	210	163	150	254	280	173
M8Y62_06190	CP097651.1	1257063	1260338	+	3276	138	149	134	71	81	80	444	291	235	91	102	73
M8Y62_06195	CP097651.1	1260408	1261844	+	1437	87	89	102	80	75	45	201	153	152	85	74	52
M8Y62_06200	CP097651.1	1261844	1262677	+	834	116	132	145	59	61	57	269	223	169	46	53	33
M8Y62_06205	CP097651.1	1262760	1263896	+	1137	397	462	490	276	287	298	1537	1339	945	307	311	201
M8Y62_06210	CP097651.1	1263893	1265170	-	1278	452	620	713	717	739	814	2504	2248	1450	681	718	812
M8Y62_06215	CP097651.1	1265295	1265933	+	639	242	251	207	200	180	184	653	455	451	168	155	140
M8Y62_06220	CP097651.1	1265924	1266904	+	981	105	88	100	95	106	100	317	256	283	77	70	96
M8Y62_06225	CP097651.1	1267004	1267840	+	837	78	73	64	36	37	34	233	155	177	25	31	25
M8Y62_06230	CP097651.1	1267887	1268690	-	804	415	457	447	73	86	55	1106	736	783	125	117	67
M8Y62_06235	CP097651.1	1268811	1269545	+	735	563	700	652	214	197	194	1622	1281	1097	181	176	136
M8Y62_06240	CP097651.1	1269780	1270271	+	492	3643	3894	3877	2917	3473	3719	6716	5828	6016	3157	3672	2478
M8Y62_06245	CP097651.1	1270450	1271664	+	1215	2435	2597	2818	3394	4546	6065	4023	3670	4288	2587	2828	3254
M8Y62_06250	CP097651.1	1271691	1272077	+	387	639	656	605	732	1020	1177	779	700	779	885	1018	1619
M8Y62_06255	CP097651.1	1272095	1272418	+	324	1552	1392	1300	1635	2209	2523	1781	1409	1760	2627	2881	5331
M8Y62_06260	CP097651.1	1272493	1273008	+	516	162	129	167	62	73	106	282	234	266	71	69	132
M8Y62_06265	CP097651.1	1273024	1274874	+	1851	421	467	456	328	359	435	1063	807	785	264	239	710
M8Y62_06270	CP097651.1	1274876	1275211	+	336	110	136	114	86	88	103	245	201	169	77	70	221
M8Y62_06275	CP097651.1	1275213	1275413	+	201	429	462	438	171	220	272	716	471	458	99	116	164
M8Y62_06280	CP097651.1	1275484	1276770	+	1287	774	796	720	767	802	885	2178	1649	1621	491	502	741
M8Y62_06285	CP097651.1	1276869	1277645	+	777	290	251	245	208	248	277	846	623	610	132	123	192
M8Y62_06290	CP097651.1	1277716	1278558	-	843	125	138	109	45	37	48	238	194	150	63	45	47
M8Y62_06295	CP097651.1	1278785	1279642	-	858	666	657	728	1151	1262	1190	2230	1552	1654	1306	1444	1536
M8Y62_06300	CP097651.1	1279848	1284797	+	4950	2598	3057	3056	2029	2208	2372	6520	4945	3971	1435	1653	1137
M8Y62_06305	CP097651.1	1284798	1287122	+	2325	609	683	623	346	359	349	990	702	609	216	254	180
M8Y62_06310	CP097651.1	1287283	1287714	+	432	305	361	343	221	237	268	1101	763	792	286	296	451
M8Y62_06315	CP097651.1	1288197	1289363	+	1167	859	1039	1021	281	299	327	2215	1611	1427	246	290	151
M8Y62_06320	CP097651.1	1289640	1290635	+	996	1587	1946	2008	883	971	1119	3913	2976	2518	635	646	450
M8Y62_06325	CP097651.1	1290662	1291783	+	1122	728	916	903	577	634	639	2218	1673	1434	593	601	457
M8Y62_06330	CP097651.1	1291875	1293149	+	1275	3379	3816	3546	2408	2548	2594	7066	5202	4856	1667	1754	1411
M8Y62_06335	CP097651.1	1293184	1293804	+	621	1616	1838	1688	872	992	1034	3586	2801	2542	995	939	742
M8Y62_06340	CP097651.1	1293815	1294993	+	1179	3101	3512	3046	1855	2175	2207	6623	4703	4566	1713	1817	1508
M8Y62_06345	CP097651.1	1295107	1296585	+	1479	3157	3197	2588	1734	1831	1946	3680	2845	2846	1300	1418	1183
M8Y62_06350	CP097651.1	1296703	1297782	+	1080	35	51	42	12	14	15	207	122	133	17	13	12
M8Y62_06355	CP097651.1	1297832	1298050	+	219	626	605	588	463	509	506	704	492	484	518	617	423
M8Y62_06360	CP097651.1	1298034	1299425	-	1392	609	675	786	482	456	493	1628	1276	1153	453	548	228
M8Y62_06365	CP097651.1	1299584	1301050	+	1467	1433	1762	1907	1056	1176	1339	3840	2768	2426	1307	1472	620
M8Y62_06370	CP097651.1	1301118	1302695	+	1578	2388	2648	2294	2182	2411	2881	4051	3130	2959	2374	2737	2638
M8Y62_06375	CP097651.1	1302887	1304137	+	1251	60	59	55	96	99	95	252	166	221	89	109	275
M8Y62_06380	CP097651.1	1304154	1304345	-	192	3	4	3	2	9	1	12	12	7	7	10	6
M8Y62_06385	CP097651.1	1304342	1304935	-	594	9	8	17	23	20	12	24	23	18	38	31	22
M8Y62_06390	CP097651.1	1304932	1305090	-	159	0	2	2	1	5	2	2	1	1	7	1	1
M8Y62_06395	CP097651.1	1305083	1305376	-	294	6	7	5	32	30	27	23	10	18	85	66	60
M8Y62_06400	CP097651.1	1305486	1305734	-	249	12	9	10	22	33	23	15	12	18	48	48	32
M8Y62_06405	CP097651.1	1305781	1306662	-	882	18	16	8	54	62	37	32	21	21	89	90	86
M8Y62_06410	CP097651.1	1306659	1307480	-	822	17	8	11	60	73	78	29	22	19	162	138	109
M8Y62_06415	CP097651.1	1307480	1307734	-	255	8	4	3	6	11	13	8	7	7	23	17	12
M8Y62_06420	CP097651.1	1307731	1308030	-	300	8	4	8	10	25	20	5	5	4	36	21	24
M8Y62_06425	CP097651.1	1308027	1308176	-	150	1	0	2	3	6	4	2	1	4	3	10	10
M8Y62_06430	CP097651.1	1308397	1308978	-	582	496	572	452	1341	1499	1218	1235	892	946	1595	1621	1205
M8Y62_06435	CP097651.1	1309132	1309365	+	234	10	19	8	9	13	9	33	19	10	15	20	12
M8Y62_06440	CP097651.1	1309512	1309715	+	204	4	5	1	10	10	9	13	6	6	17	25	17
M8Y62_06445	CP097651.1	1309712	1310374	+	663	25	7	10	15	22	15	83	46	46	29	43	32
M8Y62_06450	CP097651.1	1310374	1311135	+	762	6	3	6	18	15	15	24	11	23	30	31	28
M8Y62_06455	CP097651.1	1311261	1311605	+	345	4	7	4	7	10	10	12	4	6	12	15	8
M8Y62_06460	CP097651.1	1311798	1312259	+	462	7	4	7	20	17	19	25	3	20	41	39	25
M8Y62_06465	CP097651.1	1312252	1312932	+	681	9	4	5	18	18	12	18	11	5	37	36	22
M8Y62_06470	CP097651.1	1312948	1313403	+	456	7	12	5	22	17	6	30	15	13	21	39	21
M8Y62_06475	CP097651.1	1313403	1313615	+	213	2	7	10	11	26	19	20	18	15	33	30	14
M8Y62_06480	CP097651.1	1313612	1314226	+	615	16	17	24	33	31	27	56	31	33	51	45	34
M8Y62_06490	CP097651.1	1314504	1314695	+	192	2	2	3	8	7	5	9	7	5	10	10	11
M8Y62_06495	CP097651.1	1314688	1315026	+	339	16	24	14	11	15	22	29	18	28	26	25	16
M8Y62_06500	CP097651.1	1315102	1315431	+	330	90	96	83	55	51	74	103	59	68	77	79	65
M8Y62_06505	CP097651.1	1315489	1316073	+	585	112	103	104	77	87	93	233	164	132	127	142	121
M8Y62_06510	CP097651.1	1316070	1317545	+	1476	60	48	62	35	37	42	162	107	100	69	75	43
M8Y62_06515	CP097651.1	1317542	1318333	-	792	42	64	56	69	101	89	130	90	99	147	172	106
M8Y62_06520	CP097651.1	1318511	1318756	-	246	18	15	15	13	16	11	17	16	9	11	23	12
M8Y62_06525	CP097651.1	1318856	1318932	-	77	15	7	4	17	14	11	18	11	13	27	41	23
M8Y62_06530	CP097651.1	1319354	1319557	+	204	0	4	2	9	3	5	8	7	4	18	20	8
M8Y62_06535	CP097651.1	1319561	1321240	+	1680	21	24	25	37	55	47	57	35	27	85	111	75
M8Y62_06540	CP097651.1	1321237	1321542	+	306	3	2	0	2	1	2	5	4	1	0	5	2
M8Y62_06545	CP097651.1	1321545	1322222	+	678	15	16	16	21	16	25	53	42	27	37	35	34
M8Y62_06550	CP097651.1	1322235	1323242	+	1008	96	122	77	153	159	158	257	159	166	400	453	375
M8Y62_06555	CP097651.1	1323253	1323645	+	393	25	17	22	49	39	45	43	27	37	110	127	82
M8Y62_06560	CP097651.1	1323638	1323916	+	279	13	30	10	18	19	28	17	26	21	40	55	38
M8Y62_06565	CP097651.1	1323965	1324576	+	612	36	51	48	23	18	37	72	42	45	22	24	18
M8Y62_06570	CP097651.1	1324576	1327053	+	2478	107	79	82	34	48	50	194	130	113	73	83	60
M8Y62_06575	CP097651.1	1327055	1327525	+	471	20	25	12	11	4	9	32	28	26	14	18	7
M8Y62_06580	CP097651.1	1327518	1328015	+	498	12	15	13	12	10	11	20	14	7	3	6	3
M8Y62_06585	CP097651.1	1328028	1330526	+	2499	218	180	173	116	147	138	340	236	201	157	163	145
M8Y62_06590	CP097651.1	1330523	1332328	+	1806	110	95	109	50	58	43	179	126	104	45	53	28
M8Y62_06595	CP097651.1	1332332	1334806	+	2475	194	263	200	151	164	161	419	249	239	160	169	131
M8Y62_06600	CP097651.1	1335002	1335298	+	297	197	174	152	307	377	366	387	243	269	703	718	587
M8Y62_06605	CP097651.1	1335585	1336130	-	546	961	1089	1123	1051	1305	1297	2069	1330	1277	1820	1987	1534
M8Y62_06610	CP097651.1	1336518	1336814	-	297	18	10	13	14	12	17	20	24	16	18	28	19
M8Y62_06615	CP097651.1	1336966	1339299	+	2334	31	17	29	16	22	21	46	21	19	21	52	33
M8Y62_06620	CP097651.1	1339307	1339714	+	408	5	3	1	3	2	0	0	1	4	2	2	1
M8Y62_06625	CP097651.1	1339701	1339997	+	297	0	1	2	1	3	0	0	5	2	2	1	3
M8Y62_06630	CP097651.1	1339994	1340473	+	480	10	5	5	12	5	2	4	6	3	17	17	6
M8Y62_06635	CP097651.1	1340470	1340970	+	501	15	12	15	8	13	6	18	9	13	29	13	9
M8Y62_06640	CP097651.1	1341140	1343008	-	1869	169	175	154	113	130	126	318	199	196	246	295	192
M8Y62_06645	CP097651.1	1342992	1344170	-	1179	12	24	15	11	15	9	52	29	37	20	24	14
M8Y62_06650	CP097651.1	1344464	1345696	-	1233	64	51	51	13	26	19	133	73	54	22	20	17
M8Y62_06655	CP097651.1	1345770	1346681	+	912	128	123	149	91	117	146	443	312	214	152	151	141
M8Y62_06660	CP097651.1	1346778	1346951	-	174	71	80	72	34	53	29	147	110	102	62	74	41
M8Y62_06665	CP097651.1	1347322	1349550	+	2229	217	236	172	68	72	71	538	378	253	80	87	40
M8Y62_06670	CP097651.1	1349604	1351136	-	1533	846	966	1015	797	770	909	2448	1809	1477	576	660	391
M8Y62_06675	CP097651.1	1351140	1353200	-	2061	2066	2479	2354	2165	2337	2174	4221	3109	2642	1833	1957	1316
M8Y62_06680	CP097651.1	1353381	1354022	-	642	99	103	137	71	88	103	342	242	308	73	77	54
M8Y62_06685	CP097651.1	1354019	1355056	-	1038	187	285	345	273	326	368	945	720	877	390	451	207
M8Y62_06690	CP097651.1	1355320	1356213	+	894	834	895	821	697	942	749	1648	1116	1467	985	796	389
M8Y62_06695	CP097651.1	1356223	1357656	+	1434	1046	1162	1192	1277	1497	1483	1705	1211	1158	1430	1471	929
M8Y62_06700	CP097651.1	1357874	1358500	+	627	406	483	460	317	395	371	1396	959	1124	606	693	335
M8Y62_06705	CP097651.1	1358596	1359882	+	1287	164	178	156	72	64	84	480	301	270	65	76	34
M8Y62_06710	CP097651.1	1359981	1360682	+	702	549	595	641	290	275	344	1221	902	757	471	461	235
M8Y62_06715	CP097651.1	1360679	1361602	-	924	149	191	179	110	177	132	416	296	209	208	161	160
M8Y62_06720	CP097651.1	1361731	1362090	-	360	448	501	423	116	128	175	680	501	470	123	125	136
M8Y62_06725	CP097651.1	1362100	1363563	-	1464	1577	1782	1714	609	664	717	3149	2257	2107	824	850	605
M8Y62_06730	CP097651.1	1363615	1363731	+	117	8	10	9	2	1	1	24	20	4	0	0	1
M8Y62_06735	CP097651.1	1363786	1364847	+	1062	412	422	455	276	348	303	1245	820	797	328	311	268
M8Y62_06740	CP097651.1	1364908	1365378	-	471	1122	1213	1424	812	1131	1090	2328	1578	1532	1196	1202	1640
M8Y62_06745	CP097651.1	1365382	1365948	-	567	1190	1344	1357	1460	1822	1824	2522	1753	1629	1424	1539	1647
M8Y62_06750	CP097651.1	1366102	1366980	+	879	3348	3632	3545	3639	4296	4135	7812	5422	5670	4071	4033	4416
M8Y62_06755	CP097651.1	1366997	1368031	+	1035	3997	4034	3656	2570	3223	3260	7189	5268	5593	3147	3342	3557
M8Y62_06760	CP097651.1	1368248	1368961	+	714	1517	1655	1625	1040	1212	1309	2794	2085	2238	1067	1173	843
M8Y62_06765	CP097651.1	1369081	1369956	+	876	589	617	665	538	519	641	986	732	700	411	492	310
M8Y62_06770	CP097651.1	1369966	1371969	+	2004	516	597	556	399	408	445	821	623	531	244	254	198
M8Y62_06775	CP097651.1	1372046	1372741	+	696	217	254	247	253	236	207	366	252	218	189	186	118
M8Y62_06780	CP097651.1	1372790	1372993	-	204	203	269	259	330	408	376	480	299	284	440	575	441
M8Y62_06785	CP097651.1	1373020	1374147	-	1128	482	474	549	385	392	466	1537	1075	1035	239	326	282
M8Y62_06790	CP097651.1	1374151	1374504	-	354	87	66	77	55	70	71	174	138	112	62	59	56
M8Y62_06795	CP097651.1	1374870	1374929	+	60	72	77	44	27	26	35	62	28	48	26	31	74
M8Y62_06800	CP097651.1	1375057	1378170	-	3114	370	382	355	150	167	141	2058	1503	1653	117	111	164
M8Y62_06805	CP097651.1	1378543	1380525	+	1983	564	618	570	348	429	431	1270	1005	935	330	416	330
M8Y62_06810	CP097651.1	1380584	1381180	+	597	131	141	187	115	123	153	313	206	228	192	178	127
M8Y62_06815	CP097651.1	1381244	1382290	+	1047	267	331	407	157	155	135	697	493	448	104	122	95
M8Y62_06820	CP097651.1	1382280	1384274	-	1995	566	928	1097	1417	1381	1475	2989	2657	2147	1103	1228	992
M8Y62_06825	CP097651.1	1384291	1385247	-	957	308	434	598	1036	1034	1019	1356	1142	963	905	1166	869
M8Y62_06830	CP097651.1	1385542	1387821	+	2280	6235	6524	6531	4060	4690	4749	9089	6869	6244	2766	3036	4195
M8Y62_06835	CP097651.1	1388040	1388375	+	336	21	32	25	9	17	4	25	27	33	2	4	4
M8Y62_06840	CP097651.1	1388388	1388867	+	480	52	39	38	7	5	10	20	16	21	2	2	8
M8Y62_06845	CP097651.1	1388845	1389534	+	690	87	78	80	36	48	39	61	31	31	28	16	57
M8Y62_06850	CP097651.1	1389531	1390337	+	807	75	65	71	11	18	16	37	28	27	1	6	15
M8Y62_06855	CP097651.1	1390327	1391343	+	1017	60	62	37	22	27	19	31	37	27	4	10	18
M8Y62_06860	CP097651.1	1391382	1391672	+	291	91	90	83	92	123	124	59	45	38	122	120	348
M8Y62_06865	CP097651.1	1391801	1392088	+	288	86	79	51	69	106	91	30	29	22	46	64	138
M8Y62_06870	CP097651.1	1392100	1393503	+	1404	283	214	152	180	211	228	155	121	106	110	113	307
M8Y62_06875	CP097651.1	1393513	1394352	+	840	101	76	66	55	64	69	58	36	44	24	36	111
M8Y62_06880	CP097651.1	1394342	1395529	+	1188	84	80	66	33	45	45	37	37	31	24	22	50
M8Y62_06885	CP097651.1	1395729	1396961	+	1233	83	77	61	49	63	66	67	41	34	46	55	106
M8Y62_06890	CP097651.1	1396958	1398361	+	1404	113	120	76	87	85	88	140	77	85	47	65	80
M8Y62_06895	CP097651.1	1398373	1399734	+	1362	154	142	128	144	150	141	150	123	84	111	115	210
M8Y62_06900	CP097651.1	1399755	1400654	+	900	61	50	63	69	71	64	59	51	39	39	53	92
M8Y62_06905	CP097651.1	1400664	1401323	+	660	95	99	90	88	74	69	157	126	105	53	53	67
M8Y62_06910	CP097651.1	1401335	1401820	+	486	51	55	64	47	66	62	110	80	68	70	50	85
M8Y62_06915	CP097651.1	1401866	1402918	+	1053	131	111	125	77	71	96	323	225	225	45	47	42
M8Y62_06920	CP097651.1	1402962	1403861	-	900	438	495	551	629	641	749	1450	1089	964	439	411	253
M8Y62_06925	CP097651.1	1403861	1404733	-	873	975	1186	1381	701	810	798	2608	1930	1647	472	453	336
M8Y62_06930	CP097651.1	1404945	1405370	+	426	166	165	177	296	357	313	502	358	385	457	438	364
M8Y62_06935	CP097651.1	1405357	1405806	+	450	53	65	56	67	68	70	194	136	119	75	67	48
M8Y62_06940	CP097651.1	1405868	1406443	+	576	317	370	422	173	207	233	564	435	502	262	273	221
M8Y62_06945	CP097651.1	1406538	1407437	+	900	3681	4161	3911	2949	3177	3078	7020	4691	4341	2944	2931	2321
M8Y62_06955	CP097651.1	1408077	1409093	+	1017	46	61	81	99	116	119	207	174	141	129	103	327
M8Y62_06960	CP097651.1	1409093	1409926	+	834	40	41	32	61	91	94	170	121	117	96	99	418
M8Y62_06965	CP097651.1	1409926	1410801	+	876	27	23	29	38	20	41	100	79	61	54	27	186
M8Y62_06970	CP097651.1	1410791	1411885	+	1095	43	53	55	70	63	81	255	224	153	70	110	414
M8Y62_06975	CP097651.1	1412004	1412915	+	912	305	371	384	420	424	515	1162	799	706	248	277	209
M8Y62_06980	CP097651.1	1412912	1413307	-	396	97	113	91	100	101	111	214	158	139	153	157	90
M8Y62_06985	CP097651.1	1413448	1414746	-	1299	114	119	103	39	62	65	394	290	288	96	119	55
M8Y62_06990	CP097651.1	1414829	1415695	+	867	196	221	159	160	172	157	722	433	482	169	221	204
M8Y62_06995	CP097651.1	1415692	1415931	+	240	29	36	27	19	12	15	128	74	74	9	19	15
M8Y62_07000	CP097651.1	1415972	1416481	-	510	4677	5340	4953	6678	7521	6592	8303	5464	5319	8977	8980	7314
M8Y62_07005	CP097651.1	1416524	1418251	-	1728	4903	6058	5579	5186	5924	5930	12335	8479	7493	4993	5534	4415
M8Y62_07010	CP097651.1	1418296	1418553	-	258	1656	1843	1778	1270	1363	1656	4775	3563	3150	1043	1128	971
M8Y62_07015	CP097651.1	1418934	1419905	-	972	579	683	718	813	888	1104	2298	1701	1516	837	887	1730
M8Y62_07020	CP097651.1	1420083	1420844	-	762	351	331	410	223	213	210	632	452	480	172	122	166
M8Y62_07025	CP097651.1	1421075	1422136	+	1062	1657	1873	1966	1875	2095	2171	3886	2710	2730	1585	1887	1792
M8Y62_07030	CP097651.1	1422206	1424221	+	2016	1008	1192	977	662	768	780	2069	1555	1328	744	854	706
M8Y62_07035	CP097651.1	1424223	1424441	+	219	186	206	176	213	193	215	304	233	240	296	358	295
M8Y62_07040	CP097651.1	1424438	1425436	-	999	243	267	315	138	165	179	557	448	393	213	186	154
M8Y62_07045	CP097651.1	1425525	1426451	+	927	117	136	132	53	49	55	214	188	140	39	38	29
M8Y62_07050	CP097651.1	1426536	1426671	-	136	7	16	9	1	9	3	26	12	12	5	3	2
M8Y62_07055	CP097651.1	1426694	1426769	-	76	4	6	1	0	0	1	4	3	3	1	0	0
M8Y62_07060	CP097651.1	1426774	1426849	-	76	4	13	10	0	2	4	29	13	15	7	4	5
M8Y62_07065	CP097651.1	1426896	1426971	-	76	270	297	260	44	57	57	557	323	317	109	120	86
M8Y62_07070	CP097651.1	1427017	1427092	-	76	88	121	106	11	19	29	169	113	112	28	32	18
M8Y62_07075	CP097651.1	1427352	1428770	+	1419	970	1104	1144	912	1027	1141	3190	2224	2247	1142	1201	725
M8Y62_07080	CP097651.1	1428822	1429214	-	393	264	354	371	150	192	224	811	687	489	269	238	252
M8Y62_07085	CP097651.1	1429218	1429571	-	354	216	271	247	105	157	169	466	375	257	207	229	194
M8Y62_07090	CP097651.1	1429791	1429866	+	76	3	4	5	1	2	2	3	1	4	8	8	2
M8Y62_07095	CP097651.1	1429908	1429983	+	76	0	3	1	1	0	3	6	1	5	2	3	2
M8Y62_07100	CP097651.1	1430193	1432364	+	2172	150	155	180	114	166	151	796	545	657	149	128	160
M8Y62_07105	CP097651.1	1432413	1433615	-	1203	477	494	488	169	190	193	843	489	419	178	188	83
M8Y62_07110	CP097651.1	1433962	1435203	+	1242	256	269	276	273	224	229	475	298	278	297	302	148
M8Y62_07115	CP097651.1	1435261	1435620	-	360	4439	4479	4823	2299	2350	1938	5217	3481	3670	1516	1636	1559
M8Y62_07120	CP097651.1	1435751	1436743	-	993	256	304	282	347	307	354	741	525	523	216	275	178
M8Y62_07125	CP097651.1	1436924	1438585	+	1662	232	337	476	662	627	520	1689	1411	947	603	674	300
M8Y62_07130	CP097651.1	1438582	1439817	-	1236	211	289	317	260	230	208	1034	881	566	118	157	80
M8Y62_07135	CP097651.1	1440081	1441046	+	966	402	466	517	468	562	601	1673	1180	1186	423	465	425
M8Y62_07140	CP097651.1	1441100	1441837	-	738	79	99	86	80	84	84	210	164	144	100	129	106
M8Y62_07145	CP097651.1	1441849	1443546	-	1698	191	213	210	173	226	229	620	411	409	234	231	152
M8Y62_07150	CP097651.1	1443545	1443658	+	114	5	8	8	4	5	6	9	6	7	8	8	5
M8Y62_07160	CP097651.1	1443929	1445143	+	1215	454	535	560	648	671	661	2152	1356	1521	865	1111	1009
M8Y62_07165	CP097651.1	1445214	1445285	-	72	144	157	149	21	15	28	101	79	90	41	61	34
M8Y62_07170	CP097651.1	1445624	1446820	-	1197	53	48	44	20	26	29	108	106	70	18	22	15
M8Y62_07175	CP097651.1	1446817	1447275	-	459	3	6	4	2	9	5	16	12	15	5	2	5
M8Y62_07180	CP097651.1	1447408	1448316	+	909	26	25	28	27	31	30	106	67	72	31	36	26
M8Y62_07185	CP097651.1	1448326	1449207	-	882	18	11	13	10	7	6	28	11	13	13	14	8
M8Y62_07190	CP097651.1	1449575	1450057	-	483	45	41	45	22	15	13	103	80	66	41	33	17
M8Y62_07195	CP097651.1	1450394	1450594	-	201	211	262	238	200	231	142	238	158	160	267	276	190
M8Y62_07200	CP097651.1	1450635	1451294	-	660	8	20	19	66	59	36	38	17	23	107	131	70
M8Y62_07205	CP097651.1	1451296	1451514	-	219	8	6	2	2	2	9	4	0	2	11	2	2
M8Y62_07210	CP097651.1	1451516	1451734	-	219	3	1	0	5	4	4	3	0	7	4	5	5
M8Y62_07215	CP097651.1	1451731	1452900	-	1170	20	22	13	23	38	38	40	30	28	76	111	39
M8Y62_07220	CP097651.1	1452897	1453553	-	657	6	4	12	23	11	11	17	8	25	20	18	16
M8Y62_07225	CP097651.1	1453550	1453978	-	429	4	2	8	4	2	5	7	8	14	8	6	2
M8Y62_07230	CP097651.1	1453975	1454661	-	687	15	16	15	14	11	14	36	18	25	34	42	20
M8Y62_07235	CP097651.1	1454654	1455103	-	450	10	9	6	11	10	7	13	11	6	27	30	10
M8Y62_07240	CP097651.1	1455270	1456115	-	846	11	10	10	23	34	26	34	17	12	27	58	35
M8Y62_07245	CP097651.1	1456131	1456415	-	285	15	9	15	35	35	32	36	4	15	95	103	45
M8Y62_07250	CP097651.1	1456504	1456698	-	195	3	6	0	3	6	9	8	3	5	21	31	21
M8Y62_07255	CP097651.1	1456691	1456801	-	111	9	15	9	42	40	18	22	16	16	146	114	72
M8Y62_07260	CP097651.1	1457705	1458070	-	366	18221	18509	16813	14729	17147	15205	15073	10393	9521	18150	16738	17280
M8Y62_07265	CP097651.1	1458474	1458881	-	408	1736	1902	1863	883	892	950	3294	2269	1827	826	770	643
M8Y62_07275	CP097651.1	1459284	1459511	+	228	34	56	45	36	28	26	61	43	30	64	58	36
M8Y62_07280	CP097651.1	1459551	1459871	+	321	57	44	46	23	14	17	110	79	56	42	41	32
M8Y62_07285	CP097651.1	1459958	1460104	+	147	7	7	10	5	8	1	10	7	7	5	9	9
M8Y62_07290	CP097651.1	1460145	1460996	+	852	54	40	47	45	65	45	77	45	35	116	112	71
M8Y62_07295	CP097651.1	1461001	1462416	+	1416	30	29	34	27	21	17	76	43	40	26	44	31
M8Y62_07300	CP097651.1	1462416	1462709	+	294	6	7	9	10	9	8	10	12	14	26	15	22
M8Y62_07305	CP097651.1	1462706	1463152	+	447	16	23	15	33	24	22	44	28	24	83	71	57
M8Y62_07310	CP097651.1	1463259	1463846	+	588	39	63	46	52	50	36	92	62	28	88	142	99
M8Y62_07315	CP097651.1	1464019	1464306	+	288	297	294	238	368	416	312	385	246	256	571	649	407
M8Y62_07320	CP097651.1	1464306	1464563	+	258	614	678	668	384	378	384	818	637	532	480	522	215
M8Y62_07325	CP097651.1	1464763	1465218	+	456	9	10	6	3	4	5	25	19	12	8	8	6
M8Y62_07330	CP097651.1	1465218	1465388	+	171	0	2	2	0	5	1	3	2	1	1	0	2
M8Y62_07335	CP097651.1	1465381	1465962	+	582	8	10	14	5	3	2	26	7	12	6	2	11
